Country,Region,Year,Life,GDP
Afghanistan,South Asia,2000,55.12587805, .. 
Albania,Europe & Central Asia,2000,74.27153659,1176
Algeria,Middle East & North Africa,2000,70.18390244,1757
American Samoa,East Asia & Pacific,2000,.., .. 
Angola,Sub-Saharan Africa,2000,45.20478049,555
Antigua and Barbuda,Latin America & Caribbean,2000,73.39729268,9875
Argentina,Latin America & Caribbean,2000,73.75580488,7669
Armenia,Europe & Central Asia,2000,71.27658537,623
Aruba,Latin America & Caribbean,2000,73.72060976,20621
Australia,East Asia & Pacific,2000,79.23414634,21691
Austria,Europe & Central Asia,2000,78.12682927,24517
Azerbaijan,Europe & Central Asia,2000,66.7582439,655
"Bahamas, The",Latin America & Caribbean,2000,72.25429268,21241
Bahrain,Middle East & North Africa,2000,74.5994878,13636
Bangladesh,South Asia,2000,65.34797561,406
Barbados,Latin America & Caribbean,2000,73.2195122,11568
Belarus,Europe & Central Asia,2000,68.91219512,1276
Belgium,Europe & Central Asia,2000,77.72195122,23207
Belize,Latin America & Caribbean,2000,68.41887805,3364
Benin,Sub-Saharan Africa,2000,55.1882439,374
Bermuda,North America,2000,77.88536585,56284
Bhutan,South Asia,2000,60.65039024,766
Bolivia,Latin America & Caribbean,2000,60.69004878,1007
Bosnia and Herzegovina,Europe & Central Asia,2000,74.26073171,1462
Botswana,Sub-Saharan Africa,2000,48.69363415,3349
Brazil,Latin America & Caribbean,2000,70.04197561,3739
Brunei Darussalam,East Asia & Pacific,2000,75.28880488,18008
Bulgaria,Europe & Central Asia,2000,71.66341463,1609
Burkina Faso,Sub-Saharan Africa,2000,50.34592683,226
Burundi,Sub-Saharan Africa,2000,51.4854878,136
Cabo Verde,Sub-Saharan Africa,2000,69.72439024,1239
Cambodia,East Asia & Pacific,2000,58.35087805,301
Cameroon,Sub-Saharan Africa,2000,51.93587805,608
Canada,North America,2000,79.23658537,24124
Cayman Islands,Latin America & Caribbean,2000,.., .. 
Central African Republic,Sub-Saharan Africa,2000,44.59729268,244
Chad,Sub-Saharan Africa,2000,47.57807317,166
Channel Islands,Europe & Central Asia,2000,77.5145122,43299
Chile,Latin America & Caribbean,2000,76.82082927,5101
China,East Asia & Pacific,2000,71.73046341,959
Colombia,Latin America & Caribbean,2000,70.98870732,2472
Comoros,Sub-Saharan Africa,2000,59.43890244,376
"Congo, Rep.",Sub-Saharan Africa,2000,50.58987805,998
Costa Rica,Latin America & Caribbean,2000,77.42268293,3808
Cote d'Ivoire,Sub-Saharan Africa,2000,46.69939024,642
Croatia,Europe & Central Asia,2000,72.80780488,4920
Cuba,Latin America & Caribbean,2000,76.64480488,2741
Cyprus,Europe & Central Asia,2000,77.97168293,14673
Czech Republic,Europe & Central Asia,2000,74.96829268,5995
Denmark,Europe & Central Asia,2000,76.59268293,30744
Djibouti,Middle East & North Africa,2000,57.01034146,768
Dominica,Latin America & Caribbean,2000,..,4820
Dominican Republic,Latin America & Caribbean,2000,70.63373171,2802
Ecuador,Latin America & Caribbean,2000,72.94417073,1451
"Egypt, Arab Rep.",Middle East & North Africa,2000,68.5907561,1428
El Salvador,Latin America & Caribbean,2000,68.71704878,2238
Equatorial Guinea,Sub-Saharan Africa,2000,52.10863415,1703
Eritrea,Sub-Saharan Africa,2000,56.02502439,208
Estonia,Europe & Central Asia,2000,70.41707317,4070
Ethiopia,Sub-Saharan Africa,2000,51.93034146,124
Faroe Islands,Europe & Central Asia,2000,78.43658537,22480
Fiji,East Asia & Pacific,2000,67.60585366,2076
Finland,Europe & Central Asia,2000,77.46585366,24253
France,Europe & Central Asia,2000,79.05609756,22466
French Polynesia,East Asia & Pacific,2000,72.45,14531
Gabon,Sub-Saharan Africa,2000,59.3394878,4116
